,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
126,660856,0.8300000000000001,False,Watergraafsmeer,52.3551,4.93262,Entire home/apt,4,2.0,6.0,15,275.0,7,33,True,1,0,4.82,False,68.75,1925.0,0.08,0.29,0.2,4.99,0.005479452054794521,1396.2328767123288
127,664697,0.0,False,Oud-Noord,52.38537,4.90241,Entire home/apt,2,1.0,1.0,8,87.0,30,180,True,4,0,4.33,False,43.5,2610.0,0.05,0.1,0.15,4.99,0.8273972602739726,435.0
128,667305,0.92,False,Noord-West,52.41878,4.89397,Entire home/apt,2,1.0,1.0,5,146.0,5,120,True,19,3,5.0,False,73.0,730.0,0.06,0.14,0.16,4.99,0.9342465753424658,728.4931506849315
129,679838,0.5900000000000001,False,Centrum-Oost,52.36716,4.90462,Entire home/apt,2,1.0,1.0,14,395.0,3,10,True,0,0,4.94,False,197.5,1185.0,0.12,0.15,0.23,4.99,0.0,2195.4383561643835
130,683431,1.0,False,De Pijp - Rivierenbuurt,52.34557,4.8962,Private room,2,1.0,1.0,5,75.0,1,14,True,4,9,4.64,False,37.5,75.0,0.05,0.1,0.16,4.99,,
131,685990,1.0,True,Geuzenveld - Slotermeer,52.38296,4.83786,Private room,2,1.0,2.0,7,71.0,4,25,True,4,5,4.3,True,35.5,284.0,0.05,0.06,0.15,2.99,0.8986301369863013,321.32876712328766
132,689623,0.7300000000000001,False,Centrum-Oost,52.3737,4.92581,Entire home/apt,2,1.0,1.0,1,120.0,14,60,True,2,0,4.73,False,60.0,1680.0,0.08,0.19,0.19,4.99,0.10684931506849316,600.0
133,690757,1.0,False,Centrum-West,52.374,4.89902,Private room,3,1.0,2.0,7,187.0,2,1125,True,5,5,4.51,True,62.33,374.0,0.11,0.21,0.2,4.99,,
134,693675,0.22,False,De Baarsjes - Oud-West,52.35925,4.8514,Entire home/apt,2,1.0,2.0,2,95.0,1,4,True,0,0,4.73,False,47.5,95.0,0.04,0.09,0.16,4.99,,
135,702120,0.5,False,Westerpark,52.38384,4.87303,Entire home/apt,2,1.0,1.0,1,136.0,2,7,True,0,0,4.82,False,68.0,272.0,0.06,0.17,0.19,4.99,,
136,708528,0.69,False,De Pijp - Rivierenbuurt,52.35537,4.89477,Private room,2,1.0,1.0,7,139.0,3,10,True,1,3,4.87,False,69.5,417.0,0.07,0.15,0.17,4.99,0.03561643835616438,650.8219178082192
137,713577,1.0,True,Oud-Oost,52.35673,4.90778,Private room,2,1.0,1.0,7,82.0,1,1125,True,0,13,4.56,True,41.0,82.0,0.05,0.13,0.15,4.99,,
138,716107,0.6,False,De Baarsjes - Oud-West,52.36462,4.86824,Entire home/apt,2,1.0,1.0,5,120.0,2,1125,True,0,0,4.69,True,60.0,240.0,0.03,0.13,0.18,4.99,,
139,719623,0.08000000000000007,False,Centrum-West,52.38284,4.89007,Entire home/apt,2,1.0,1.0,6,156.0,4,150,True,0,0,4.61,False,78.0,624.0,0.09,0.23,0.22,4.99,0.4246575342465753,780.0
140,721291,0.85,False,Westerpark,52.37752,4.87086,Private room,1,1.0,2.0,1,72.0,2,180,True,0,0,4.470000000000001,False,72.0,144.0,0.05,0.16,0.17,2.99,,
141,728144,0.99,True,Centrum-Oost,52.36112,4.89632,Entire home/apt,4,2.0,4.0,9,214.0,3,1125,True,0,1,4.89,False,53.5,642.0,0.07,0.1,0.25,4.99,0.0,1079.1780821917807
142,728145,0.38,False,De Pijp - Rivierenbuurt,52.35344,4.8954,Entire home/apt,2,1.0,1.0,13,290.0,1,14,True,0,2,4.98,False,145.0,290.0,0.13,0.23,0.25,4.99,,
143,729317,1.0,True,Centrum-Oost,52.36052,4.89568,Private room,2,1.0,1.0,10,116.0,3,14,True,0,2,4.68,True,58.0,348.0,0.05,0.13,0.17,4.99,0.0,557.9589041095891
144,730916,1.0,True,Westerpark,52.3731,4.86859,Private room,2,1.0,1.0,3,85.0,3,90,True,10,4,4.74,False,42.5,255.0,0.06,0.12,0.16,4.99,0.6410958904109589,425.4931506849315
145,741043,1.0,False,Westerpark,52.37654,4.87003,Entire home/apt,4,2.0,3.0,18,495.0,2,1125,True,0,0,4.33,True,123.75,990.0,0.12,0.25,0.23,10.99,0.547945205479452,2769.3698630136987
146,742160,0.6100000000000001,False,Centrum-Oost,52.36866,4.92071,Entire home/apt,16,8.0,24.0,28,886.0,2,60,True,9,0,4.64,True,55.38,1772.0,0.15,0.16,0.27,10.99,0.7178082191780822,4344.520547945205
147,744659,0.95,True,Oud-Oost,52.35659,4.90827,Private room,2,1.0,1.0,3,111.0,1,10,True,0,3,4.92,False,55.5,111.0,0.06,0.14,0.18,4.99,,
148,746067,0.56,False,Centrum-West,52.38295,4.88726,Entire home/apt,2,1.0,1.0,6,136.0,3,100,True,0,0,4.7,False,68.0,408.0,0.08,0.15,0.21,4.99,0.0,678.7671232876712
149,747847,0.22,False,De Baarsjes - Oud-West,52.36131,4.8519,Private room,1,1.0,1.0,1,60.0,2,5,True,0,0,4.4799999999999995,False,60.0,120.0,0.05,0.13,0.16,2.99,,
